1.png	2:83,202:133;12:343,212:393;648:316,848:366;4:485,204:535
2.png	9:287,209:337;647:186,847:236;648:120,848:170;644:317,844:367
3.png	0:123,200:173;648:47,848:97;643:476,843:526;12:238,212:288
4.png	642:213,842:263;646:108,846:158;8:245,208:295;9:72,209:122
5.png	2:8,202:58;638:365,838:415;12:233,212:283;9:178,209:228
6.png	3:66,203:116;648:53,848:103;4:414,204:464;638:373,838:423
7.png	7:334,207:384;645:466,845:516;645:133,845:183;3:422,203:472
8.png	643:387,843:437;5:151,205:201;12:205,212:255;640:214,840:264
9.png	0:184,200:234;4:446,204:496;7:336,207:386;5:96,205:146
11.png	594:479,794:529
12.png	48:424,248:474
13.png	8:467,208:517
14.png	10:443,210:493
15.png	28:412,228:462
16.png	138:397,338:447
17.png	234:407,434:457
18.png	68:479,268:529
19.png	131:404,331:454
21.png	269:247,469:297;559:214,759:264;370:309,570:359
22.png	42:307,242:357;480:304,680:354;499:235,699:285
23.png	528:329,728:379;82:212,282:262;259:264,459:314
24.png	114:341,314:391;325:214,525:264;568:260,768:310
25.png	123:267,323:317;428:211,628:261;588:334,788:384
26.png	475:254,675:304;15:255,215:305;57:327,257:377
27.png	546:332,746:382;159:209,359:259;535:244,735:294
28.png	100:336,300:386;317:325,517:375;250:206,450:256
29.png	445:307,645:357;236:319,436:369;348:199,548:249
31.png	31:79,231:129;43:395,243:445;609:345,809:395;624:27,824:77;36:486,236:536;604:232,804:282
32.png	635:235,835:285;45:438,245:488;24:102,224:152;613:286,813:336;607:94,807:144;623:486,823:536
33.png	18:189,218:239;635:385,835:435;624:444,824:494;45:345,245:395;630:11,830:61;13:425,213:475
34.png	625:3,825:53;13:64,213:114;630:211,830:261;608:461,808:511;20:164,220:214;8:341,208:391
35.png	1:347,201:397;611:102,811:152;612:429,812:479;2:222,202:272;603:318,803:368;19:114,219:164
36.png	637:190,837:240;615:482,815:532;624:258,824:308;29:416,229:466;22:332,222:382;625:381,825:431
37.png	32:318,232:368;644:122,844:172;35:44,235:94;631:222,831:272;21:408,221:458;630:365,830:415
38.png	28:477,228:527;632:3,832:53;22:27,222:77;10:334,210:384;622:279,822:329;613:72,813:122
39.png	620:197,820:247;26:157,226:207;637:124,837:174;26:299,226:349;25:6,225:56;41:101,241:151
41.png	354:457,554:507;622:479,822:529;196:7,396:57;149:440,349:490;4:243,204:293
42.png	643:166,843:216;632:463,832:513;277:6,477:56;84:470,284:520;322:465,522:515
43.png	310:482,510:532;47:452,247:502;603:8,803:58;639:438,839:488;322:20,522:70
44.png	428:465,628:515;131:2,331:52;127:468,327:518;640:316,840:366;499:15,699:65
45.png	37:475,237:525;365:10,565:60;10:364,210:414;536:458,736:508;646:256,846:306
46.png	306:467,506:517;2:488,202:538;30:17,230:67;625:455,825:505;380:16,580:66
47.png	372:22,572:72;68:470,268:520;476:468,676:518;636:7,836:57;80:0,280:50
48.png	648:455,848:505;380:476,580:526;173:21,373:71;6:408,206:458;645:126,845:176
49.png	589:20,789:70;1:165,201:215;637:482,837:532;387:15,587:65;274:458,474:508
51.png	262:484,462:534;8:89,208:139;633:86,833:136
52.png	636:448,836:498;625:390,825:440;17:148,217:198
53.png	621:435,821:485;647:143,847:193;24:155,224:205
54.png	535:487,735:537;17:479,217:529;27:97,227:147
55.png	10:78,210:128;30:241,230:291;327:453,527:503
56.png	630:30,830:80;638:359,838:409;310:450,510:500
57.png	627:41,827:91;154:485,354:535;588:475,788:525
58.png	639:47,839:97;385:455,585:505;634:192,834:242
59.png	101:480,301:530;420:446,620:496;11:136,211:186
61.png	648:332,848:382;374:3,574:53;236:343,436:393;119:405,319:455
62.png	342:465,542:515;44:372,244:422;566:480,766:530;121:460,321:510
63.png	81:468,281:518;417:483,617:533;407:324,607:374;565:4,765:54
64.png	347:349,547:399;73:472,273:522;20:311,220:361;595:456,795:506
65.png	561:436,761:486;128:422,328:472;517:325,717:375;104:369,304:419
66.png	335:7,535:57;494:380,694:430;169:414,369:464;128:338,328:388
67.png	79:3,279:53;384:443,584:493;233:385,433:435;402:17,602:67
68.png	289:469,489:519;608:426,808:476;551:341,751:391;152:414,352:464
69.png	337:18,537:68;551:420,751:470;134:3,334:53;10:406,210:456
71.png	649:162,849:212;1:33,201:83;648:261,848:311;1:481,201:531;649:92,849:142;3:202,203:252
72.png	2:240,202:290;2:0,202:50;3:376,203:426;1:55,201:105;647:135,847:185;1:300,201:350
73.png	1:459,201:509;649:168,849:218;1:65,201:115;647:327,847:377;2:252,202:302;1:118,201:168
74.png	648:166,848:216;0:155,200:205;647:34,847:84;3:89,203:139;4:314,204:364;2:426,202:476
75.png	1:442,201:492;3:113,203:163;648:481,848:531;647:417,847:467;648:273,848:323;0:17,200:67
76.png	3:141,203:191;2:33,202:83;647:353,847:403;647:250,847:300;648:158,848:208;3:242,203:292
77.png	3:244,203:294;3:470,203:520;649:376,849:426;649:185,849:235;647:57,847:107;647:6,847:56
78.png	2:428,202:478;0:234,200:284;3:47,203:97;648:29,848:79;647:447,847:497;1:160,201:210
79.png	649:464,849:514;647:258,847:308;1:303,201:353;3:214,203:264;4:469,204:519;647:181,847:231
81.png	513:387,713:437;410:445,610:495
82.png	502:462,702:512;8:355,208:405
83.png	199:411,399:461;612:473,812:523
84.png	466:473,666:523;537:369,737:419
85.png	411:429,611:479;135:354,335:404
86.png	217:412,417:462;340:470,540:520
87.png	139:370,339:420;7:446,207:496
88.png	351:439,551:489;96:444,296:494
89.png	180:442,380:492;580:376,780:426
91.png	50:471,250:521;513:407,713:457;340:480,540:530
92.png	535:386,735:436;491:441,691:491;99:463,299:513
