mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
4.461,0.796,3.378,0.114,0.435,0.176,4.104,97.015,0.0
7.359,0.86,1.766,0.039,0.322,0.165,2.292,96.596,0.0
7.161,0.912,1.754,0.029,0.248,0.116,2.146,96.825,0.0
7.516,0.896,1.222,0.024,0.246,0.117,1.609,96.746,0.0
8.789,0.922,0.127,0.021,0.194,0.11,0.452,97.006,0.0
9.252,0.934,0.114,0.021,0.173,0.111,0.42,96.59,0.0
9.331,0.926,0.043,0.021,0.185,0.089,0.339,96.771,0.0
8.553,0.946,0.041,0.013,0.148,0.078,0.28,96.902,0.0
8.659,0.944,0.027,0.015,0.141,0.079,0.262,96.627,0.0
8.561,0.95,0.025,0.015,0.14,0.07,0.249,96.911,0.0
